cod;nombre;pct_menores_18;pct_mayores_67;pct_migrantes;indice_fecundidad;renta_bruta_persona;pct_solteros;pct_casados;pct_divorciados;pct_cuenta_propia;pct_agricultura;pct_secundario;pct_directores;pct_cualificados;pct_primaria_inferior;pct_secundaria_2a;pct_superior;tasa_paro;tasa_empleo;tasa_actividad
02078;Villalgordo del Júcar;12,22;22,09;15,12;0,95;12488,0;34,67;50,31;6,28;29,83;38,63;19,31;17,49;53,66;30,37;14,41;14,41;10,34;60,54;50,73
02079;Villamalea;15,51;19,64;21,98;1,23;12854,0;32,58;52,91;7,09;26,89;36,63;18,78;16,18;51,71;28,2;15,3;17,61;11,92;68,44;59,93
02080;Villapalacios;8,91;26,92;8,84;1,27;14949,0;39,15;43,61;4,87;31,25;29,91;13,39;23,81;56,67;23,64;17,83;22,67;11,45;69,25;50,97
02081;Villarrobledo;17,45;16,55;13,93;1,25;13815,0;34,57;52,42;5,9;21,68;10,18;27,51;23,34;64,38;22,12;20,08;21,57;12,19;62,73;57,45
02082;Villatoya;5,96;24,39;12,28;0,88;16132,0;40,74;34,26;18,52;29,27;14,63;21,95;36,11;44,44;17,86;18,75;25,0;10,0;46,15;36,04
02083;Villavaliente;4,71;36,96;5,24;0,7;14717,0;31,09;50,78;8,81;26,44;34,48;18,39;20,78;61,04;24,12;16,58;22,11;7,69;79,25;45,96
02084;Villaverde de Guadalimar;10,86;27,42;5,83;2,05;12258,0;32,75;49,65;6,34;38,24;25,49;16,67;6,12;79,59;24,14;17,24;13,79;20,86;56,41;48,26
02085;Viveros;7,69;33,27;4,08;0,95;15167,0;32,98;53,33;4,91;37,59;30,08;14,29;26,27;66,95;26,57;18,18;23,78;9,87;83,54;53,33
02086;Yeste;9,62;33,27;4,88;0,94;13016,0;36,69;44,46;5,14;32,08;15,54;16,19;26,5;61,61;28,5;13,87;17,88;21,52;55,02;42,37
02901;Pozo Cañada;17,02;19,26;6,97;1,28;13460,0;30,93;56,5;4,07;21,96;12,16;23,27;21,34;62,65;21,59;14,61;16,8;14,27;64,16;57,62
03001;Atzúbia, l';7,75;31,68;46,59;0,96;16256,0;29,25;49,59;12,24;36,79;5,18;19,17;34,97;54,1;15,1;41,03;27,0;9,39;54,99;38,1
03002;Agost;16,06;17,98;12,12;1,17;13918,0;33,92;49,55;8,32;20,04;12,38;22,87;27,22;55,81;18,55;18,75;24,17;14,64;59,75;56,15
03003;Agres;12,93;22,62;13,44;1,07;16764,0;33,08;50,86;8,22;23,79;8,55;24,54;33,99;55,73;16,61;20,07;32,12;13,2;64,78;55,49
03004;Aigües;16,98;17,52;31,42;1,31;16961,0;33,89;47,99;12,3;26,42;0,47;13,68;44,44;45,93;9,18;28,61;42,68;14,37;55,84;50,25
03005;Albatera;20,79;14,05;25,57;1,64;12054,0;32,91;54,74;6,57;19,57;15,18;19,37;22,25;56,36;22,84;17,68;20,58;14,41;57,96;56,62
03006;Alcalalí;9,05;36,73;57,79;1,11;14772,0;25,37;57,63;8,11;36,41;2,18;19,07;36,39;55,3;24,98;24,28;27,88;9,37;52,87;33,7
03007;Alcosser;11,33;18,4;16,35;1,26;19478,0;30,43;51,3;10,87;23,85;0,0;36,15;41,18;46,22;10,68;19,23;38,89;15,6;65,38;60,52
03008;Alcoleja;10,43;31,72;5,91;1,12;15256,0;25,61;53,66;9,15;26,67;6,67;13,33;33,33;45,83;20,83;22,62;25,6;17,5;63,46;47,62
03009;Alcoi/Alcoy;15,78;19,59;14,97;1,09;15864,0;32,67;49,61;9,4;15,21;0,83;30,01;34,51;54,16;13,35;22,96;29,13;15,88;59,22;54,53
03010;Alfafara;11,7;24,22;9,35;1,0;16171,0;35,54;50,96;5,51;25,86;3,45;31,61;36,97;52,12;13,64;17,65;31,82;10,53;63,2;51,21
03011;Alfàs del Pi, l';14,54;23,24;53,26;1,06;14761,0;35,47;47,16;10,66;27,69;0,73;11,7;28,1;60,61;14,15;32,68;28,73;10,65;50,88;42,16
03012;Algorfa;13,52;30,07;59,4;1,09;12631,0;22,34;62,17;9,61;26,98;3,06;19,39;24,94;64,19;41,46;20,43;9,5;12,75;48,93;34,92
03013;Algueña;15,83;24,54;10,1;1,21;13112,0;29,29;51,61;10,45;23,17;9,55;28,25;20,68;64,56;24,35;14,63;16,35;19,73;59,22;51,17
